skill,domain,difficulty,question_text_latex,source_directory
Linear equations in two variables,Algebra,Medium,"A school is selling tickets to a play. Adult tickets cost $\$8 and student tickets cost $\$5$. The school sold a total of $\$1,450$ worth of tickets. If they sold 150 adult tickets, how many student tickets were sold?",../psat
Linear equations in two variables,Algebra,Medium,"The graph shows the distance $d$, in miles, of a cyclist from a landmark after $t$ hours of riding toward it. What is the best interpretation of the t-intercept of the graph?",../psat
Linear equations in two variables,Algebra,Medium,"The area $A$ of a trapezoid is given by the formula $A = \rac{1}{2}h(b_1 + b_2)$, where $h$ is the height and $b_1$ and $b_2$ are the lengths of the bases. Which of the following equations correctly expresses the length of base $b_1$ in terms of $A$, $h$, and $b_2$?",../psat
Linear equations in two variables,Algebra,Medium,"A chemist needs to make a 200 mL solution that is 15% acid. She will use a stock solution that is 10% acid and another that is 25% acid. If $x$ is the volume in mL of the 10% solution and $y$ is the volume in mL of the 25% solution, which equation can be used to find the correct volumes of $x$ and $y$ based on the total amount of acid needed?",../psat
Linear equations in two variables,Algebra,Medium,"The line defined by the equation $6x - 2y = 10$ has a y-intercept at $(0, y)$. What is the value of $y$?",../psat
Linear equations in two variables,Algebra,Medium,A school band is selling candy bars for $\$1.50$ each and bags of popcorn for $\$2.00$ each to raise funds. They sold a total of 200 items and collected $\$340$. How many candy bars did they sell?,../psat
Linear equations in two variables,Algebra,Medium,"The depth $d$, in meters, of a diving submarine $t$ minutes after it begins its descent is modeled by the equation $d = 45t + 15$. What is the best interpretation of the number 45 in this model?",../psat
Linear equations in two variables,Algebra,Medium,"A fitness center charges a one-time sign-up fee and a monthly membership fee. The total cost for 3 months of membership is $\$140, and the total cost for 7 months of membership is $\$260. Which equation represents the total cost, $C$, for $m$ months of membership?",../psat
Linear equations in two variables,Algebra,Medium,"Which of the following is an equation of the line that is perpendicular to the line with equation $x - 3y = 9$ and passes through the point $(-2, 5)$?",../psat
Linear equations in two variables,Algebra,Medium,"In the xy-plane, a line passes through the points $(-4, 1)$ and $(2, -8)$. If the point $(p, -5)$ is on the line, what is the value of $p$?",../psat
Linear equations in two variables,Algebra,Medium,"The charge $C$, in percentage, of a smartphone battery after $h$ hours of use is given by $C = -20h + 100$. The graph of this equation has an h-intercept. What does this intercept represent in the context of the problem?",../psat
Linear equations in two variables,Algebra,Medium,"The equation $12f + 8s = 240$ represents a company's budget, in dollars, for a luncheon. The company buys $f$ pounds of fish at $\$12$ per pound and $s$ pounds of salad at $\$8$ per pound. If the company bought 15 pounds of salad, how many pounds of fish did it buy?",../psat
Linear equations in two variables,Algebra,Medium,"Which equation represents a line that is parallel to the line with equation $5x + y = 10$ and passes through the point $(3, -4)$?",../psat
Linear equations in two variables,Algebra,Medium,"The graph of the equation $2x - 7y = 28$ in the xy-plane has an x-intercept at $(a, 0)$ and a y-intercept at $(0, b)$. What is the value of $a + b$?",../psat
Linear equations in two variables,Algebra,Medium,"The profit, P, in dollars, from selling x units of a product is given by the equation $P = 40x - 8000$. The x-intercept of the graph of this equation represents the break-even point, which is the number of units that must be sold for the profit to be $\$0$. How many units must be sold to break even?",../psat
Linear equations in two variables,Algebra,Medium,"A line in the xy-plane passes through the points $(-6, -2)$ and $(3, 4)$. Which equation defines this line?",../psat
Linear equations in two variables,Algebra,Medium,"The equation $1.50a + 2.50b = 50$ represents the total cost, in dollars, for buying $a$ pounds of apples and $b$ pounds of bananas. If a customer buys 8 pounds of bananas, how many pounds of apples did they buy?",../psat
Linear equations in two variables,Algebra,Medium,"A swimming pool initially contains 50,000 liters of water. The pool is being drained at a constant rate of 1,000 liters per hour. Which equation models the volume of water, $V$, in liters, remaining in the pool after $h$ hours?",../psat
Linear equations in two variables,Algebra,Medium,"Which of the following is an equation of the line that is perpendicular to the line with equation $2x + 5y = 15$ and passes through the point $(4, 1)$?",../psat
Linear equations in two variables,Algebra,Medium,"The line defined by the equation $4x - 3y = 9$ in the xy-plane contains the point $(-3, k)$. What is the value of $k$?",../psat
Linear equations in two variables,Algebra,Medium,"A wallet contains 25 coins, consisting only of dimes and quarters. The total value of the coins in the wallet is $\$3.70$. How many dimes are in the wallet?",../psat
Linear equations in two variables,Algebra,Medium,"The equation for the final velocity of an object is $v = u + at$, where $u$ is the initial velocity, $a$ is the acceleration, and $t$ is the time elapsed. Which of the following equations correctly expresses the acceleration, $a$, in terms of $v$, $u$, and $t$?",../psat
Linear equations in two variables,Algebra,Medium,The graph of the line $8x - 5y = 40$ in the xy-plane has an x-intercept and a y-intercept. What is the product of the coordinates of the x-intercept and the y-intercept?,../psat
Linear equations in two variables,Algebra,Medium,"A linear relationship between $x$ and $y$ is shown in the table below. 

$\begin{array}{|c|c|} \hline x & y \\ \hline 2 & 11 \\ \hline 5 & 23 \\ \hline \end{array}$

Based on the relationship, what is the value of $y$ when $x=8$?",../psat
Linear equations in two variables,Algebra,Medium,The line with equation $3x + 4y = 24$ forms a right triangle with the x- and y-axes in the xy-plane. What is the area of this triangle?,../psat
Linear equations in two variables,Algebra,Medium,"Elena and Marcus are saving money. Elena starts with $\$110$ and saves $\$20 per week. Marcus starts with $\$30 and saves $\$40 per week. After how many weeks, $w$, will they have the same amount of money?",../psat
Linear equations in two variables,Algebra,Medium,"The lateral surface area of a rectangular prism is given by the formula $A = 2lh + 2wh$, where $l$ is the length, $w$ is the width, and $h$ is the height. Which of the following correctly expresses the height, $h$, in terms of $A$, $l$, and $w$?",../psat
Linear equations in two variables,Algebra,Medium,"The number of pages, $p$, left to read in a book after $t$ hours of reading is modeled by the equation $p = -15t + 180$. What is the best interpretation of the t-intercept of the graph of this equation?",../psat
Linear equations in two variables,Algebra,Medium,"A driver's distance from home is a linear function of time. After 2 hours of driving, she is 250 miles from home. After 5 hours, she is 475 miles from home. Which equation models her distance, $d$, from home after $t$ hours?",../psat
Linear equations in two variables,Algebra,Medium,"A line $k$ is parallel to the line with equation $2x + 3y = 12$ and passes through the point $(6, -1)$. What is the y-intercept of line $k$?",../psat
Linear equations in two variables,Algebra,Medium,"A landscaper's total fee, $C$, in dollars, is given by the equation $C = 40h + 15m$, where $h$ is the number of hours worked and $m$ is the number of bags of mulch used. For a certain project, the total fee was $\$335$, and 5 bags of mulch were used. For how many hours did the landscaper work?",../psat
Linear equations in two variables,Algebra,Medium,"A farm stand sells apples for $\$0.75$ each and oranges for $\$1.25$ each. On a given day, the stand sold three times as many apples as oranges and made a total of $\$210$. How many oranges were sold?",../psat
Linear equations in two variables,Algebra,Medium,"A line in the xy-plane passes through the points $(0, 2)$ and $(3, 0)$. Which of the following is an equation of a line that is perpendicular to this line and passes through the point $(-1, 5)$?",../psat
Linear equations in two variables,Algebra,Medium,"The line with equation $5x - 4y = -40$ has an x-intercept at $(a, 0)$ and a y-intercept at $(0, b)$. What is the value of $b-a$?",../psat
Linear equations in two variables,Algebra,Medium,"A leaky faucet loses water at a constant rate. After 2 hours, 5.5 gallons have been lost. After 5 hours, 13.75 gallons have been lost. The relationship is modeled by the equation $G = kt + b$, where $G$ is the number of gallons lost after $t$ hours. How many hours will it take for 22 gallons to be lost?",../psat
Linear equations in two variables,Algebra,Medium,"Line $A$ is defined by $y = 3x - 5$. Line $B$ is defined by $2x + y = 10$. The lines intersect at the point $(a, b)$. What is the value of $a + b$?",../psat
Linear equations in two variables,Algebra,Medium,How many solutions does the system of equations below have? \\ $y = -0.5x + 4$ \\ $x + 2y = 7$,../psat
Linear equations in two variables,Algebra,Medium,"Leo owes his sister money. The amount he still owes, $D$ dollars, after $w$ weeks is modeled by the equation $D = -15w + 120$. What is the best interpretation of the w-intercept of the graph of this equation?",../psat
Linear equations in two variables,Algebra,Medium,"A line is perpendicular to the line defined by the equation $y = \rac{1}{3}x + 5$ and passes through the point $(2, 4)$. What is the y-intercept of this line?",../psat
Linear equations in two variables,Algebra,Medium,"A concession stand sells sodas for $\$2$, hot dogs for $\$4$, and pretzels for $\$3$. The total revenue for a game was $\$500$. The stand sold 50 hot dogs. If $x$ represents the number of sodas sold and $y$ represents the number of pretzels sold, which equation represents the relationship between $x$ and $y$ for that game?",../psat
Linear equations in two variables,Algebra,Medium,What is the slope of the line represented by the equation $5x - 8y = 16$?,../psat
Linear equations in two variables,Algebra,Medium,"In the xy-plane, line $k$ has the equation $y = (c-1)x + 5$ and line $m$ has the equation $y = 4x - 2$. If line $k$ is parallel to line $m$, what is the value of $c$?",../psat
Linear equations in two variables,Algebra,Medium,"Two cars are traveling towards each other on a 450-mile straight road. Car A starts at one end and travels at 60 mph. Car B starts at the other end and travels towards Car A at 40 mph. If they start at the same time, how many miles will Car A have traveled when they meet?",../psat
Linear equations in two variables,Algebra,Medium,"For which of the following equations is the ordered pair $(-2, 3)$ a solution?",../psat
Linear equations in two variables,Algebra,Medium,The line given by the equation $2x + 5y = 20$ forms a right triangle with the positive x- and y-axes in the xy-plane. What is the area of this triangle?,../psat
Linear equations in two variables,Algebra,Medium,"A farm has only chickens and pigs. Chickens have 2 legs and pigs have 4 legs. There are a total of 30 animals on the farm, and there are 94 legs in total. How many pigs are on the farm?",../psat
Linear equations in two variables,Algebra,Medium,"The simple interest formula is $I = Prt$, where $I$ is the interest earned, $P$ is the principal amount, $r$ is the annual interest rate as a decimal, and $t$ is the time in years. Which equation correctly solves for the principal, $P$?",../psat
Linear equations in two variables,Algebra,Medium,"The temperature $T$, in degrees Fahrenheit, of an oven is modeled by the equation $T = 15m + 75$, where $m$ is the number of minutes after it is turned on. What is the best interpretation of the number 15 in this context?",../psat
Linear equations in two variables,Algebra,Medium,"In the xy-plane, the lines with equations $y = 2x - 7$ and $x + y = 5$ intersect at the point $(x, y)$. What is the value of $x$?",../psat
Linear equations in two variables,Algebra,Medium,Line $p$ has the equation $y = -\rac{1}{2}x + 3$. Line $q$ is perpendicular to line $p$ and has the equation $y = kx - 5$. What is the value of $k$?,../psat
Linear equations in two variables,Algebra,Medium,"The equation $C = \rac{5}{9}(F - 32)$ is used to convert temperatures from degrees Fahrenheit, $F$, to degrees Celsius, $C$. If the temperature is 50 degrees Fahrenheit, what is the temperature in degrees Celsius?",../psat
Linear equations in two variables,Algebra,Medium,"A linear relationship is shown in the table below. 

$\begin{array}{|c|c|} \hline x & y \\ \hline -2 & -5 \\ \hline 4 & 7 \\ \hline \end{array}$

Which equation defines this relationship?",../psat
Linear equations in two variables,Algebra,Medium,"The graph of the equation $7x + 2y = 28$ has an x-intercept at $(x, 0)$. What is the value of $x$?",../psat
Linear equations in two variables,Algebra,Medium,"A professional photographer charges a session fee of $\$150$ and an additional $\$12$ for each photograph ordered. Which equation represents the total cost, $C$, for a session where a client orders $p$ photographs?",../psat
Linear equations in two variables,Algebra,Medium,"The sum $S$ of an arithmetic sequence is given by the formula $S = \rac{n}{2}(a + l)$, where $n$ is the number of terms, $a$ is the first term, and $l$ is the last term. Which of the following equations correctly expresses the first term, $a$, in terms of $S$, $n$, and $l$?",../psat
Linear equations in two variables,Algebra,Medium,"The point of intersection for the system of equations below is $(x, y)$. What is the value of $x+y$? \\ $3x - 2y = 7$ \\ $2x + y = 21$",../psat
Linear equations in two variables,Algebra,Medium,The line given by the equation $Ax + 3y = 9$ has an x-intercept of 6. What is the value of $A$?,../psat
Linear equations in two variables,Algebra,Medium,"The graph shows the number of subscribers for two streaming services, Apollo and Zeus, over a period of months. What is the best interpretation of the point of intersection of the two lines?\n\n(A graph would be displayed showing two intersecting lines. Line 'Apollo' starts high and has a shallow positive slope. Line 'Zeus' starts low and has a steep positive slope. They intersect at some point (t, N).)",../psat
Linear equations in two variables,Algebra,Medium,For what value of $k$ does the following system of linear equations have no solution? \\ $kx - 2y = 7$ \\ $6x - 4y = 10$,../psat
Linear equations in two variables,Algebra,Medium,The line represented by the equation $3x + 4y = 12$ forms a right triangle with the x- and y-axes. What is the perimeter of this triangle?,../psat
Linear equations in two variables,Algebra,Medium,"A line passes through the points $(-2, 1)$ and $(4, 5)$. Which of the following equations represents the line in the standard form $Ax+By=C$, where $A > 0$?",../psat
Linear equations in two variables,Algebra,Medium,"A salesperson is offered two salary plans. Plan A is a base salary of $\$400 per week plus a 10% commission on sales. Plan B is a base salary of $\$700 per week plus a 5% commission on sales. What amount of weekly sales, in dollars, would result in the same total salary for both plans?",../psat
Linear equations in two variables,Algebra,Medium,"The points $(1, k)$, $(3, 2)$, and $(7, -4)$ are collinear (they lie on the same straight line). What is the value of $k$?",../psat
Linear equations in two variables,Algebra,Medium,"The population of a town, $P$, since the year 2010 can be modeled by the equation $P = 125t + 8500$, where $t$ is the number of years after 2010. In which year is the population predicted to reach 10,000?",../psat
Linear equations in two variables,Algebra,Medium,"A line in the xy-plane forms an isosceles triangle with the x- and y-axes in the first quadrant. The area of the triangle is 18 square units. If the line passes through the point $(3, y)$, what is the value of $y$?",../psat
Linear equations in two variables,Algebra,Medium,"A tutoring service offers two payment plans. Plan A costs an initial fee, $F$, plus $\$15$ per hour. Plan B costs an initial fee of $\$50$ plus $\$20$ per hour. The total cost for the two plans is the same for a session that lasts 10 hours. What is the value of the initial fee, $F$, for Plan A?",../psat
Linear equations in two variables,Algebra,Medium,"A linear model, $H = 0.5d + 3$, is created to predict the height $H$, in cm, of a plant after $d$ days. An actual measurement shows that the height of the plant after 20 days is 12.5 cm. What is the absolute difference between the predicted height and the actual measured height on day 20?",../psat
Linear equations in two variables,Algebra,Medium,"The cost, $C$, to rent a tool is modeled by the linear equation $C = ax + b$, where $b$ is a flat rental fee and $a$ is the charge per day. For each additional day of rental, the cost increases by $\$4$. The total cost to rent the tool for 7 days is $\$40$. What is the value of the flat rental fee, $b$?",../psat
Linear equations in two variables,Algebra,Medium,A coffee blend is made from Arabica beans costing $\$10$ per pound and Robusta beans costing $\$7$ per pound. A 30-pound batch of the blend costs a total of $\$255$. What is the ratio of the weight of Arabica beans to the weight of Robusta beans in the blend?,../psat
Linear equations in two variables,Algebra,Medium,"What is the equation of the line that is parallel to the y-axis and passes through the midpoint of the line segment with endpoints $(1, 8)$ and $(7, -2)$?",../psat
Linear equations in two variables,Algebra,Medium,The line $y = 3x + b$ intersects the line $y = -2x + 15$ at a point on the y-axis. What is the value of $b$?,../psat
Linear equations in two variables,Algebra,Medium,"The equation of a line is $y = \rac{2}{3}x + \rac{4}{3}$. This equation can be written in the standard form $Ax + By = C$, where A, B, and C are integers with a greatest common divisor of 1, and A > 0. What is the value of $A+B+C$?",../psat
Linear equations in two variables,Algebra,Medium,"A library's fine for an overdue book is a fixed amount for the first day, plus an additional charge for each subsequent day. A book that is 3 days overdue has a total fine of $\$1.50$. A book that is 7 days overdue has a total fine of $\$3.50$. What is the fixed fine for the first day?",../psat
Linear equations in two variables,Algebra,Medium,"Two pipes, A and B, fill a tank. The total volume $V$ (in gallons) in the tank after $t$ minutes is given by $V = (r_A + r_B)t$, where $r_A$ and $r_B$ are the constant flow rates of the pipes in gallons per minute. When both pipes are open, the tank fills from empty to 200 gallons in 5 minutes. When only pipe A is open, it fills from empty to 120 gallons in 6 minutes. What is the flow rate of pipe B, $r_B$, in gallons per minute?",../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = 4x + 5$. What is the value of $f(3)$?,../psat
Linear functions,Algebra,Easy,The function $g$ is defined by $g(x) = 10 - 2x$. What is the value of $g(3)$?,../psat
Linear functions,Algebra,Easy,The function $h$ is defined by $h(x) = 5x$. For what value of $x$ does $h(x) = 45$?,../psat
Linear functions,Algebra,Easy,"A bakery sells cupcakes for $\$3 each. There is also a fixed delivery fee of $\$5. Which equation represents the total cost, $c$, for an order of $n$ cupcakes?",../psat
Linear functions,Algebra,Easy,"$C = 50 + 20h$. The given equation gives the total cost $C$, in dollars, for a plumber who works for $h$ hours. Which of the following is the best interpretation of the number 20 in this context?",../psat
Linear functions,Algebra,Easy,"The function $f$ is defined as $f(x) = mx + 10$. If $f(2) = 20$, what is the value of $m$?",../psat
Linear functions,Algebra,Easy,"$T(d) = 25 - 2d$. The function gives the temperature $T$, in degrees Celsius, inside a freezer $d$ hours after it was plugged in. What is the temperature after 4 hours?",../psat
Linear functions,Algebra,Easy,"If $y = 9x - 1$, what is the value of $y$ when $x = 2$?",../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = x + 12$. For what value of $x$ is $f(x) = 20$?,../psat
Linear functions,Algebra,Easy,The value $v$ of a collectible is $\$50 more than twice its original price $p$. Which equation represents this relationship?,../psat
Linear functions,Algebra,Easy,"$H = 100 - 5t$. The equation gives the height $H$, in meters, of a descending hot air balloon $t$ minutes after it started to descend. What is the best interpretation of 100 in this context?",../psat
Linear functions,Algebra,Easy,"The function $g$ is defined by $g(x) = 4x + b$. If $g(5) = 21$, what is the value of $b$?",../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = 15 - x$. What is the value of $f(10)$?,../psat
Linear functions,Algebra,Easy,"Given the equation $y = 7x + 3$. If $y = 38$, what is the value of $x$?",../psat
Linear functions,Algebra,Easy,"A phone's battery life $B$, in percent, starts at 100% and decreases by 8% for every hour $h$ of use. Which equation models the battery life?",../psat
Linear functions,Algebra,Easy,"$C(x) = 2x + 10$. The function gives the cost $C$, in dollars, to rent a scooter for $x$ hours. How much does it cost to rent the scooter for 3 hours?",../psat
Linear functions,Algebra,Easy,The function $h$ is defined by $h(t) = 50t$. What is the value of $h(5)$?,../psat
Linear functions,Algebra,Easy,The function $g$ is defined by $g(x) = 3x - 2$. For what value of $x$ does $g(x) = 10$?,../psat
Linear functions,Algebra,Easy,"$W = 200 + 5m$. The equation models the amount of water $W$, in liters, in a tank after $m$ minutes. Which of the following is the best interpretation of the number 5 in this context?",../psat
Linear functions,Algebra,Easy,"The function $f$ is defined by $f(x) = x + c$, where $c$ is a constant. If $f(8) = 15$, what is the value of $c$?",../psat
Linear functions,Algebra,Easy,"The temperature in Fahrenheit, $F$, is 32 more than $\frac{9}{5}$ times the temperature in Celsius, $C$. Which equation correctly represents this relationship?",../psat
Linear functions,Algebra,Easy,The function $f$ is defined as $f(x) = \frac{1}{2}x + 3$. What is the value of $f(10)$?,../psat
Linear functions,Algebra,Easy,The function $f$ is defined as $f(x) = \frac{1}{3}x$. For what value of $x$ does $f(x) = 6$?,../psat
Linear functions,Algebra,Easy,"$p(t) = 30 + 2t$. A plant's height $p$, in centimeters, is modeled by this function, where $t$ is the number of weeks after it was purchased. What is the meaning of the number 30 in the function?",../psat
Linear functions,Algebra,Easy,"A taxi fare is calculated by the function $F(d) = 2.50 + 1.50d$, where $F(d)$ is the total fare in dollars for a ride of $d$ miles. What is the fare for a 4-mile ride?",../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = 6x + 2$. What is the value of $f(5)$?,../psat
Linear functions,Algebra,Easy,The function $g$ is defined by $g(t) = 20 - 4t$. What is the value of $g(2)$?,../psat
Linear functions,Algebra,Easy,The function $C$ is defined by $C(n) = 3n + 11$. What is the value of $C(6)$?,../psat
Linear functions,Algebra,Easy,The function $h$ is defined by $h(x) = -2x + 15$. What is the value of $h(4)$?,../psat
Linear functions,Algebra,Easy,The function $p$ is defined by $p(x) = 9x - 7$. What is the value of $p(3)$?,../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = 2x + 5$. For what value of $x$ does $f(x) = 19$?,../psat
Linear functions,Algebra,Easy,The function $g$ is defined by $g(x) = 4x - 1$. For what value of $x$ does $g(x) = 27$?,../psat
Linear functions,Algebra,Easy,"$h(t) = 100 - 10t$. The function gives the amount of fuel $h$, in gallons, in a tank after $t$ hours. For what value of $t$ is the amount of fuel 50 gallons?",../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = 7x$. For what value of $x$ is $f(x) = 63$?,../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = \frac{x}{4} + 1$. For what value of $x$ does $f(x)=5$?,../psat
Linear functions,Algebra,Easy,"$C = 40 + 0.20m$. The equation gives the total cost $C$, in dollars, to rent a car and drive it for $m$ miles. Which of the following is the best interpretation of the number 0.20 in this context?",../psat
Linear functions,Algebra,Easy,"$W = 500 - 10t$. The equation models the amount of water $W$, in liters, remaining in a tank after it has been draining for $t$ minutes. Which of the following is the best interpretation of the number 10 in this context?",../psat
Linear functions,Algebra,Easy,"A gym membership costs are modeled by the function $C(m) = 25m + 50$, where $C(m)$ is the total cost for $m$ months. Which of the following is the best interpretation of the number 25 in this model?",../psat
Linear functions,Algebra,Easy,"A mobile phone plan is modeled by the equation $C = 15m + 25$, where $C$ is the total cost in dollars for $m$ months. What is the best interpretation of the number 25 in this context?",../psat
Linear functions,Algebra,Easy,"During a warm day, the depth of a snowpack is modeled by the function $S(h) = 40 - 2h$, where $S(h)$ is the depth in centimeters and $h$ is the number of hours since sunrise. What does the number 40 represent in this function?",../psat
Linear functions,Algebra,Easy,"The cost to rent a conference hall is a $\$100 flat fee plus $\$15 for each person attending. Which equation represents the total cost, $c$, for $p$ people to attend?",../psat
Linear functions,Algebra,Easy,"A sapling is 2 feet tall when it is planted. It grows at a rate of 0.5 feet per year. Which equation gives the height, $h$, of the sapling after $y$ years?",../psat
Linear functions,Algebra,Easy,"Jamal opens a savings account with an initial deposit of $\$100. He then deposits $\$20 each week. Which equation represents the balance, $B$, in his account after $w$ weeks?",../psat
Linear functions,Algebra,Easy,"A library charges a fixed fine of $\$0.50 for an overdue book, plus an additional $\$0.25 for each day it is late. Which equation represents the total fine, $F$, in dollars, for a book that is $d$ days late?",../psat
Linear functions,Algebra,Easy,"A video game player starts with 50 points and earns 100 points for each level completed. Which equation shows the player's total score, $S$, after completing $L$ levels?",../psat
Linear functions,Algebra,Easy,"The function $f$ is defined as $f(x) = 3x + b$, where $b$ is a constant. If $f(2) = 10$, what is the value of $b$?",../psat
Linear functions,Algebra,Easy,"The function $g$ is defined by $g(x) = mx + 5$, where $m$ is a constant. If $g(3) = 14$, what is the value of $m$?",../psat
Linear functions,Algebra,Easy,"The function $h$ is defined by $h(t) = -5t + b$, where $b$ is a constant. If $h(4) = 0$, what is the value of $b$?",../psat
Linear functions,Algebra,Easy,"The function $f$ is defined as $f(x) = mx - 7$, where $m$ is a constant. If $f(6) = 11$, what is the value of $m$?",../psat
Linear functions,Algebra,Easy,"The function $p$ is defined as $p(n) = 2n + c$, where $c$ is a constant. If $p(10) = 30$, what is the value of $c$?",../psat
Linear functions,Algebra,Easy,The function $f$ is defined by $f(x) = -4x + 20$. What is the value of $f(3)$?,../psat
Linear functions,Algebra,Easy,The function $g$ is defined by $g(x) = 5x - 7$. For what value of $x$ does $g(x) = 18$?,../psat
Linear functions,Algebra,Easy,"$V = 15000 - 1200y$. The equation gives the value $V$, in dollars, of a car $y$ years after it was purchased. Which of the following is the best interpretation of the number 15000 in this context?",../psat
Linear functions,Algebra,Easy,"A baker has 200 pounds of flour. He uses 10 pounds of flour for each batch of cookies he bakes. Which equation gives the remaining amount of flour, $F$, after baking $b$ batches?",../psat
Linear inequalities in one or two variables,Algebra,Easy,Maria has saved $\$150$. Her goal is to save at least $\$500$ for a new laptop. What is the minimum amount of money she still needs to save?,../psat
Linear inequalities in one or two variables,Algebra,Easy,"An elevator has a maximum weight capacity of $2,000$ pounds. If there are already people in the elevator who weigh a total of $1,250$ pounds, what is the maximum additional weight the elevator can hold?",../psat
Linear inequalities in one or two variables,Algebra,Easy,"A truck driver needs to cover a distance of at least 450 miles in a day. He travels at an average speed of 60 miles per hour. Which inequality can be used to find the number of hours, $h$, he must drive to meet his goal?",../psat
Linear inequalities in one or two variables,Algebra,Easy,"Which of the following ordered pairs $(x, y)$ is a solution to the inequality $y > 2x - 1$?",../psat
Linear inequalities in one or two variables,Algebra,Easy,"To be considered a 'healthy' weight, a certain breed of dog should weigh between 25 and 35 pounds, inclusive. Which of the following weights is considered healthy for this breed?",../psat
Linear inequalities in one or two variables,Algebra,Easy,A student earns $\$12$ per hour for tutoring and wants to earn more than $\$180$ to buy a new phone. What is the minimum number of whole hours the student must work to afford the phone?,../psat
Linear inequalities in one or two variables,Algebra,Easy,"Leticia is buying pizza and soda for a party. Each pizza costs $\$10$ and each bottle of soda costs $\$2$. She can spend no more than $\$50$. If $p$ represents the number of pizzas and $s$ represents the number of sodas, which inequality represents this situation?",../psat
Linear inequalities in one or two variables,Algebra,Easy,A recipe for bread says to bake it for a duration between 45 and 55 minutes. Let $t$ be the baking time in minutes. Which inequality represents the correct baking time?,../psat
Linear inequalities in one or two variables,Algebra,Easy,"A gym membership costs $\$30$ per month plus a one-time sign-up fee of $\$50$. A person wants to spend at most $\$200$ in total. Which inequality represents the number of months, $m$, they can be a member?",../psat
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, line $l$ is parallel to line $m$, and line $t$ is a transversal. What is the value of $x$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the triangle shown, what is the value of $y$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,Two lines intersect as shown in the figure. What is the value of $z$?,../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, angle $ABC$ is a straight angle. What is the measure of angle $DBE$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the right triangle shown, what is the value of $x$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, line $p$ is parallel to line $q$. What is the value of $y$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the isosceles triangle $ABC$, the length of side $AB$ is equal to the length of side $AC$. If the measure of angle $B$ is $68^{\circ}$, what is the measure of angle $A$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, lines $m$ and $n$ are parallel. What is the value of $x$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,What is the value of $x$ in the figure shown?,../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"Triangles $ABC$ and $DEF$ are similar, such that $\angle A$ corresponds to $\angle D$ and $\angle B$ corresponds to $\angle E$. If $m\angle A = 30^{\circ}$ and $m\angle F = 80^{\circ}$, what is the measure of $\angle B$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, line $r$ is parallel to line $s$. What is the value of $w$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,An equilateral triangle has one side of length 10. What is the measure of one of its interior angles?,../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, what is the value of $x+y$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, a transversal intersects two parallel lines. What is the value of $x$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the triangle shown, what is the value of $z$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"Two angles are complementary. If one angle measures $25^{\circ}$, what is the measure of the other angle?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, lines $a$ and $b$ are parallel. What is the value of $x$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the right triangle, one acute angle is twice the measure of the other acute angle. What is the measure of the smaller acute angle?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,What is the sum of the measures of the interior angles of a triangle?,../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure provided, line $m$ is parallel to line $n$. What is the value of $a+b$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"Two angles are supplementary. If one angle measures $115^{\circ}$, what is the measure of the other angle?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In the figure, two lines intersect. What is the value of $x$?",../sat_with_images
Lines angles and triangles,Geometry and Trigonometry,Easy,"In triangle FGH, $m\angle F = 22^{\circ}$ and $m\angle G = 98^{\circ}$. What is $m\angle H$?",../sat_with_images
