test,domain,skill,difficulty,question_text_latex,figure_description,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from 0 to 10, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical, ranging from 0 to 10, with tick marks at every integer unit and numerical labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, 1) and (5, 6). Line 2 is a horizontal line passing through $y=6$. The two lines intersect at the point (5, 6).",,,,,6,6,The solution to a system of linear equations is the point of intersection of the graphed lines.,"Observing the provided graph, we can identify the coordinates of the intersection point.","The two lines intersect at the point $(5, 6)$.","This means the solution is $(x,y) = (5, 6)$.",The question asks for the value of $y$.,"From the solution, the value of $y$ is 6."
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -10 to 2, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical and ranges from -4 to 6, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 passes through the points (0, 5) and (-6, -1). Line 2 has a negative slope passing through (0, -7) and (-6, -1). The two lines intersect at the point (-6, -1).",,,,,-6,-6,"The solution $(x,y)$ to the system of equations is the point of intersection of the two graphed lines.","By examining the graph, we locate the point where the two lines cross.","The intersection point has coordinates $(-6, -1)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is -6.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with tick marks at every integer unit and labels every 2 units. The y-axis is vertical, ranging from -8 to 2, with tick marks at every integer unit and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, -2) and (3, -5). Line 2 passes through the points (0, 1) and (3, -5). The two lines intersect at the point (3, -5).","$(3, -5)$","$(-5, 3)$","$(0, -2)$","$(0, 1)$",A,,"The solution to a system of linear equations is the ordered pair $(x,y)$ corresponding to the point where the lines intersect.",We examine the graph to find the point of intersection.,The graph shows that the two lines intersect in the fourth quadrant.,"The coordinates of this intersection point are $(3, -5)$.","Thus, the solution is $(3, -5)$, which matches option A.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -8 to 2, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical and ranges from 0 to 10, with tick marks at every integer unit and numerical labels every 2 units. Light gray grid lines form a square grid at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line passing through $y=6$. Line 2 has a negative slope and passes through the points (0, 2) and (-4, 6). The lines intersect at the point (-4, 6).","$(0, 2)$","$(0, 6)$","$(-4, 0)$","$(-4, 6)$",D,,The graphical solution to a system of linear equations is the point where the lines intersect.,We need to find the coordinates of this intersection point from the graph.,The graph shows a horizontal line and a line with a negative slope intersecting in the second quadrant.,The point of intersection has an x-coordinate of -4 and a y-coordinate of 6.,"The solution to the system is $(-4, 6)$, which is option D.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal and ranges from -4 to 6, with tick marks at every integer unit and numerical labels at -4, -2, 0, 2, 4, 6. The y-axis is vertical, ranging from -4 to 6, with tick marks at every integer unit and numerical labels at -4, -2, 0, 2, 4, 6. Light gray grid lines form a square grid at every integer unit. Two solid black lines are graphed. Line 1 is the line $y=x$, passing through the origin (0, 0) and the point (1, 1). Line 2 is the line $y=1$, a horizontal line passing through (0, 1) and (1, 1). The lines intersect at the point (1, 1).","$(0, 0)$","$(0, 1)$","$(1, 0)$","$(1, 1)$",D,,"The solution to a system of two linear equations is the point $(x,y)$ that lies on both lines.","On a graph, this solution is the point where the two lines intersect.","By locating the intersection point on the graph, we can determine its coordinates.",The lines intersect at the point with an x-coordinate of 1 and a y-coordinate of 1.,"Therefore, the solution to the system is $(1, 1)$, which is option D.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal and ranges from 0 to 12, with tick marks at every integer unit and numerical labels at every 2 units. The y-axis is vertical, ranging from -4 to 6, with tick marks at every integer unit and numerical labels at every 2 units. Light gray grid lines form a square grid at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, -5) and (7, 2). Line 2 passes through the points (0, 9) and (7, 2). The lines intersect at the point (7, 2).",,,,,7,7,"The solution to a system of linear equations is the point $(x, y)$ at which the two lines intersect.",We must find this point of intersection on the given graph.,"The graph shows that the two lines intersect at the point $(7, 2)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is 7.,"Therefore, the value of $x$ is 7."
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal and ranges from -6 to 4, with integer tick marks and labels every 2 units. The y-axis is vertical and ranges from -6 to 4, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, 0) and (-1, -1). Line 2 passes through the points (0, -2) and (-1, -1). The lines intersect at (-1, -1).",,,,,-1,-1,"The solution $(x,y)$ of the system is the point of intersection of the two lines.",We locate this point on the provided graph.,"The two lines intersect at the point $(-1, -1)$.",The question asks for the value of $y$.,"From the solution point $(-1, -1)$, the y-value is -1.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -10 to 2, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -2 to 8, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is the line $y=4$, a horizontal line. Line 2 passes through (0, -1) and (-5, 4). The lines intersect at (-5, 4).","$(-4, 5)$","$(-5, 4)$","$(0, -1)$","$(0, 4)$",B,,The solution to a system of equations from a graph is the point where the lines intersect.,We must identify the coordinates of this intersection point.,"Looking at the graph, the horizontal line and the slanted line intersect at the point with an x-coordinate of -5 and a y-coordinate of 4.","Therefore, the solution to the system is $(-5, 4)$.",This matches option B.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from 0 to 10, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -6 to 4, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is the line $x=6$, a vertical line. Line 2 passes through (0, 4) and (6, -2). The lines intersect at (6, -2).","$(6, 0)$","$(0, -2)$","$(6, -2)$","$(-2, 6)$",C,,The solution to a system of linear equations is the point of intersection of the two lines.,We examine the graph to find the coordinates of the point where the two lines cross.,The intersection occurs in the fourth quadrant at the point where $x=6$ and $y=-2$.,"The solution is the ordered pair $(6, -2)$.",This corresponds to option C.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal and ranges from -4 to 4, with integer tick marks and labels every 2 units. The y-axis is vertical and ranges from 0 to 10, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a line with a negative slope, passing through the points (-2, 7) and (0, 5). Line 2 is a line with a positive slope, passing through the points (-2, 3) and (0, 5). The lines intersect on the y-axis at the point (0, 5).",,,,,5,5,"The solution $(x,y)$ to the system of equations is the point of intersection of the graphed lines.","By examining the graph, we can identify the coordinates of the point where the two lines cross.","The intersection point is on the y-axis at $(0, 5)$. This means the solution is $x=0$ and $y=5$.","The question asks for the value of $y$ in the solution $(x, y)$.","Therefore, the value of $y$ is 5.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -10 to 2, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -4 to 6, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (0, 5) and (-5, 0). Line 2 passes through (0, -5) and (-5, 0). The lines intersect on the x-axis at (-5, 0).",,,,,-5,-5,The solution to a system of linear equations is the point of intersection of the graphed lines.,We must find the coordinates of the point where the two lines cross on the graph.,"The graph shows that the lines intersect on the x-axis at the point $(-5, 0)$.","The question asks for the value of $x$ from the solution $(x, y)$.",The x-coordinate of the intersection point is -5.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from 0 to 12, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (0, 1) and (2, 7). Line 2 passes through (0, 11) and (2, 7). The lines intersect at (2, 7).","$(0, 1)$","$(0, 11)$","$(2, 7)$","$(7, 2)$",C,,"The solution to a system of linear equations is the point $(x,y)$ that satisfies both equations. Graphically, this is the point where the lines representing the equations intersect.","To find the solution, we need to locate the point of intersection on the provided graph.","Observing the graph, the two lines cross at the point where the x-coordinate is 2 and the y-coordinate is 7.","Therefore, the solution to the system of linear equations is $(2, 7)$.","Comparing this to the options, the correct choice is C.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -12 to 2, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -8 to 2, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line at $y=-3$. Line 2 is a line with a positive slope passing through (0, 4) and (-7, -3). The lines intersect at (-7, -3).","$(-3, -7)$","$(0, -3)$","$(0, 4)$","$(-7, -3)$",D,,The solution to a system of linear equations is the point of intersection of the two lines.,We examine the graph to find the coordinates of this point.,The two lines cross at the point located in the third quadrant.,"The x-coordinate of this point is -7, and the y-coordinate is -3.","Thus, the solution is $(-7, -3)$, which is option D.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -2 to 8, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (0, -1) and (4, 3). Line 2 passes through (0, 7) and (4, 3). The lines intersect at (4, 3).",,,,,4,4,"The solution $(x,y)$ to the system of equations is the point where the two lines intersect on the graph.","By observing the graph, we locate the point of intersection.","The two lines intersect at the point $(4, 3)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is 4.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -4 to 6, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -10 to 2, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a vertical line at $x=1$. Line 2 passes through (0, -5) and (1, -6). The lines intersect at (1, -6).",,,,,-6,-6,The solution to a system of linear equations is the point of intersection of the graphed lines.,We must find the coordinates of the point where the vertical line and the slanted line cross.,"Reading from the graph, the intersection occurs at the point $(1, -6)$.","The question asks for the value of $y$ from the solution $(x,y)$.","Therefore, the value of $y$ is -6.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -6 to 4, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from 0 to 12, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (0, 6) and (-1, 8). Line 2 passes through (0, 10) and (-1, 8). The lines intersect at (-1, 8).","$(8, -1)$","$(-1, 8)$","$(0, 6)$","$(0, 10)$",B,,The solution to a system of linear equations is the point where the graphs of the two equations intersect.,We need to find the coordinates of this intersection point from the graph.,The graph shows that the two lines intersect in the second quadrant at the point with an x-coordinate of -1 and a y-coordinate of 8.,"The coordinates of this point are $(-1, 8)$.","Therefore, the solution to the system is $(-1, 8)$, which corresponds to option B.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -2 to 8, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (0, 0) and (3, 3). Line 2 passes through (0, 6) and (3, 3). The lines intersect at (3, 3).","$(0, 0)$","$(0, 6)$","$(3, 3)$","$(6, 0)$",C,,"A solution to a system of equations is a point $(x,y)$ that lies on the graph of each equation in the system.","Graphically, this is the point where the lines intersect.","By inspecting the graph, we can see the two lines cross at the point where both the x-coordinate and the y-coordinate are 3.","The point of intersection is $(3, 3)$.","Thus, the solution to the system is $(3, 3)$, which matches option C.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -6 to 4, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -6 to 4, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is the line $y=x$, passing through (0, 0) and (-2, -2). Line 2 is the line $y=-x-4$, passing through (0, -4) and (-2, -2). The lines intersect at (-2, -2).","$(0, 0)$","$(0, -4)$","$(-2, 2)$","$(-2, -2)$",D,,The solution to a system of linear equations is represented by the point of intersection of the two lines on the graph.,"By examining the graph, we find the point where the two lines cross.",The lines intersect in the third quadrant at the point where the x-coordinate is -2 and the y-coordinate is -2.,"Therefore, the solution to the system is $(-2, -2)$.",This matches option D.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -5 to 5, with integer tick marks and labels every 1 unit. The y-axis is vertical, ranging from -5 to 5, with integer tick marks and labels every 1 unit. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is the line $y=2x$, passing through (-1, -2), (0, 0), and (1, 2). Line 2 is the line $y=-x$, passing through (1, -1), (0, 0), and (-1, 1). The lines intersect at the origin, (0, 0).","$(0, 0)$","$(1, 2)$","$(-1, 1)$","$(2, -2)$",A,,The solution to a system of linear equations is the point where the two lines intersect.,We must identify the coordinates of this intersection point from the graph.,The graph shows that the two lines cross at the origin.,"The coordinates of the origin are $(0, 0)$.","Therefore, the solution to the system is $(0, 0)$, which corresponds to option A.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -6 to 4, with tick marks at every integer unit and numerical labels at -6, -4, -2, 0, 2, 4. The y-axis is vertical and ranges from 0 to 8, with tick marks at every integer unit and numerical labels at 0, 2, 4, 6, 8. A light gray grid is formed by lines at every integer unit. Two solid black lines are graphed. Line 1 has a negative slope and passes through the points (0, 3) and (-1, 5). Line 2 has a positive slope and passes through the points (0, 6) and (-1, 5). The two lines intersect at the point (-1, 5).","$(0, 3)$","$(0, 6)$","$(-1, 5)$","$(5, -1)$",C,,The solution to a system of linear equations is represented by the point of intersection of their graphs.,"To find the solution, we must identify the coordinates of the point where the two lines on the graph cross.","By observing the graph, we can see that the two lines intersect at the point where the x-coordinate is -1 and the y-coordinate is 5.","Thus, the solution to the system is the ordered pair $(-1, 5)$.","Comparing our result with the given options, we find that option C matches the solution.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from 0 to 10, with tick marks at every integer unit and numerical labels at 0, 2, 4, 6, 8, 10. The y-axis is vertical, ranging from -10 to 2, with tick marks at every integer unit and numerical labels at -10, -8, -6, -4, -2, 0. A light gray grid is formed by lines at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line at $y = -1$. Line 2 is a line with a positive slope passing through (0, -8) and (8, 0). The two lines intersect at the point (7, -1).",,,,,7,7,"The solution $(x,y)$ to the system of linear equations is the point where the two lines intersect on the graph.","By examining the graph, we see the two lines cross at the point $(7, -1)$.","So, the solution to the system is $(x,y) = (7, -1)$.",The question asks for the value of $x$.,"From the solution, the value of $x$ is 7.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -8 to 2, with tick marks at every integer unit and numerical labels at -8, -6, -4, -2, 0, 2. The y-axis is vertical, ranging from -8 to 2, with tick marks at every integer unit and numerical labels at -8, -6, -4, -2, 0, 2. A light gray grid is formed by lines at every integer unit. Two solid black lines are graphed. Line 1 is a vertical line at $x=-3$. Line 2 has a positive slope and passes through the points (0, -1) and (-3, -4). The two lines intersect at the point (-3, -4).",,,,,-4,-4,"The solution $(x,y)$ for the system is the point where the two lines intersect.",We locate this point of intersection on the given graph.,"The lines intersect at the point with coordinates $(-3, -4)$.",The problem asks for the value of $y$.,"In the solution $(-3, -4)$, the value of $y$ is -4.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with tick marks at every integer unit and numerical labels at -2, 0, 2, 4, 6, 8. The y-axis is vertical, ranging from 0 to 12, with tick marks at every integer unit and numerical labels at 0, 2, 4, 6, 8, 10, 12. A light gray grid is formed by lines at every integer unit. Two solid black lines are graphed. Line 1 has a positive slope and passes through the points (0, 2) and (2, 8). Line 2 has a shallower positive slope and passes through the points (0, 6) and (2, 8). The two lines intersect at the point (2, 8).","$(0, 2)$","$(0, 6)$","$(8, 2)$","$(2, 8)$",D,,"The solution to a system of equations is the point $(x,y)$ that lies on both lines.","Graphically, this solution is the point where the two lines intersect.","Locating the intersection point on the provided graph, we find its x-coordinate is 2 and its y-coordinate is 8.","Therefore, the solution to the system is $(2, 8)$.",This corresponds to option D.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with tick marks at every integer unit and numerical labels at -2, 0, 2, 4, 6, 8. The y-axis is vertical, ranging from -6 to 4, with tick marks at every integer unit and numerical labels at -6, -4, -2, 0, 2, 4. A light gray grid is formed by lines at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line at $y=-3$. Line 2 has a negative slope and passes through the points (0, 5) and (4, -3). The lines intersect at the point (4, -3).","$(4, -3)$","$(-3, 4)$","$(0, 5)$","$(0, -3)$",A,,"The solution of a system of linear equations is the point $(x, y)$ where the graphed lines intersect.",We need to find the coordinates of this intersection point from the graph.,The graph shows a horizontal line and a line with a negative slope. These lines intersect at the point where the x-coordinate is 4 and the y-coordinate is -3.,"Therefore, the solution to the system is $(4, -3)$.",This corresponds to option A.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -10 to 2, with integer tick marks and numerical labels at -10, -8, -6, -4, -2, 0, 2. The y-axis is vertical, ranging from -6 to 4, with integer tick marks and numerical labels at -6, -4, -2, 0, 2, 4. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a vertical line at $x=-6$. Line 2 has a positive slope and passes through the points (0, 1) and (-6, -2). The lines intersect at (-6, -2).","$(-2, -6)$","$(0, 1)$","$(-6, -2)$","$(-4, -1)$",C,,"A solution to a system of equations is a point $(x,y)$ that lies on the graph of each equation in the system.","Graphically, this is the point where the lines intersect.","By inspecting the graph, we can see the two lines cross at the point where the x-coordinate is -6 and the y-coordinate is -2.","The point of intersection is $(-6, -2)$.","Thus, the solution to the system is $(-6, -2)$, which matches option C.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from 0 to 12, with integer tick marks and numerical labels at 0, 2, 4, 6, 8, 10, 12. The y-axis is vertical, ranging from 0 to 10, with integer tick marks and numerical labels at 0, 2, 4, 6, 8, 10. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line at $y=6$. Line 2 has a positive slope and passes through the points (0, -3) and (9, 6). The lines intersect at (9, 6).",,,,,9,9,"The solution $(x,y)$ to the system of equations is the point of intersection of the two graphed lines.","By examining the graph, we locate the point where the two lines cross.","The intersection point has coordinates $(9, 6)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is 9.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -6 to 4, with integer tick marks and numerical labels at -6, -4, -2, 0, 2, 4. The y-axis is vertical, ranging from -12 to 2, with integer tick marks and numerical labels at -12, -10, -8, -6, -4, -2, 0, 2. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 has a positive slope and passes through (0, -4) and (-2, -8). Line 2 has a negative slope and passes through (0, -14) and (-2, -8). The lines intersect at (-2, -8).",,,,,-8,-8,The solution to a system of linear equations is the point of intersection of the graphed lines.,We must find the coordinates of the point where the two lines cross on the graph.,"The graph shows that the lines intersect at the point $(-2, -8)$.","The question asks for the value of $y$ from the solution $(x, y)$.",The y-coordinate of the intersection point is -8.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -5 to 5, with integer tick marks and numerical labels at every unit. The y-axis is vertical, ranging from -5 to 5, with integer tick marks and numerical labels at every unit. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Both lines pass through the y-axis at (0, 1). Line 1 has a negative slope and passes through (1, 0). Line 2 has a positive slope and passes through (-0.5, 0). The two lines intersect at the point (0, 1).","$(0, 1)$","$(1, 0)$","$(-0.5, 0)$","$(1, -0.5)$",A,,The solution to a system of linear equations is the point where the graphs of the two equations intersect.,We need to find the coordinates of this intersection point from the graph.,The graph shows that the two lines intersect on the y-axis.,"The coordinates of this point are $(0, 1)$.","Therefore, the solution to the system is $(0, 1)$, which corresponds to option A.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -12 to 2, with integer tick marks and numerical labels at every 2 units. The y-axis is vertical, ranging from -6 to 10, with integer tick marks and numerical labels at every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Both lines pass through the x-axis at (-8, 0). Line 1 has a positive slope and passes through (0, 8). Line 2 has a negative slope and passes through (0, -4). The lines intersect at the point (-8, 0).","$(0, 8)$","$(0, -4)$","$(8, 0)$","$(-8, 0)$",D,,The graphical solution to a system of linear equations is the point where the lines intersect.,We must identify the coordinates of this intersection point from the graph.,The two lines are shown to cross on the x-axis.,"The coordinates of the intersection point are $(-8, 0)$.","Thus, the solution to the system is $(-8, 0)$, which corresponds to option D.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from 0 to 12, with integer tick marks and numerical labels every 2 units. The y-axis is vertical, ranging from 0 to 12, with integer tick marks and numerical labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 has a slope of 1 and passes through the origin (0, 0) and (10, 10). Line 2 has a positive slope and passes through (0, -10) and (10, 10). The lines intersect at (10, 10).","$(0, 0)$","$(0, -10)$","$(10, 10)$","$(5, 0)$",C,,The solution to a system of linear equations is the point of intersection of the two lines.,We examine the graph to find the coordinates of the point where the two lines cross.,The intersection occurs in the first quadrant at the point where $x=10$ and $y=10$.,"The solution is the ordered pair $(10, 10)$.",This corresponds to option C.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with integer tick marks and numerical labels every 2 units. The y-axis is vertical, ranging from 0 to 12, with integer tick marks and numerical labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line at $y=9$. Line 2 has a positive slope and passes through (0, 3) and (3, 9). The lines intersect at (3, 9).",,,,,3,3,The solution to a system of linear equations is given by the coordinates of the point of intersection of the lines on the graph.,"By inspecting the graph, we can see that the two lines cross at the point $(3, 9)$.","The solution is therefore $(x,y) = (3, 9)$.",The question asks for the value of $x$.,The x-coordinate of the solution is 3.,
